Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.106076240,-0.06411716,-1.26787,-0.193708,-0.0315571,-0.002496893,0.9959882,19.99552,14.02224,-40.73055,1028.317
0.108544826,0.5515484,0.4374599,-0.2548853,-0.03565428,0.009658903,1.033576,19.99552,14.02224,-40.73055,1028.317
0.111012935,-0.06427029,1.260393,-0.3160433,-0.05771443,0.009038092,1.012483,19.99552,14.02224,-40.73055,1028.317
0.113481045,-0.3720728,-0.7976794,-0.3771822,-0.0437263,-0.01852087,0.970377,19.99552,14.02224,-40.73055,1028.317
0.115949631,0.3668186,-1.385336,-0.2545874,-0.009887895,-0.01337429,1.052266,19.99552,14.02224,-40.73055,1028.317
0.118417740,0.3051388,0.6139846,-0.3769837,-0.004245348,0.001345005,1.032815,19.99552,14.02224,-40.73055,1028.317
0.120886802,-0.6799897,1.26049,-0.4993415,-0.03663833,-0.02753846,0.9745652,19.99552,14.02224,-40.73055,1028.317
0.123353958,0.243692,-0.5036287,-0.5604228,-0.04044712,-0.01923361,0.9832894,19.99552,14.02224,-40.73055,1028.317
0.125822067,0.7976964,-0.621052,-0.4990086,-0.02421774,0.01319226,1.004881,19.99552,14.02224,-40.73055,1028.317
0.128290176,-0.5569742,0.613749,-0.4376137,-0.03005066,0.004684279,1.020462,19.99552,14.02224,-40.73055,1028.317
0.130758762,-0.3721056,0.2020209,-0.4987143,-0.04678525,-0.02124897,0.9829769,19.99552,14.02224,-40.73055,1028.317
0.133226871,0.613044,-0.2095779,-0.7435102,-0.04808519,-0.00914659,1.015201,19.99552,14.02224,-40.73055,1028.317
0.135694980,0.05877049,-0.1507213,-0.7432766,-0.03918715,-0.006538566,1.020258,19.99552,14.02224,-40.73055,1028.317
0.138163566,-0.3721997,-0.03309242,-0.7430431,-0.03082727,-0.02913901,0.9903043,19.99552,14.02224,-40.73055,1028.317
0.140631676,0.6745144,0.2608718,-0.6203334,-0.03825748,-0.0007096436,1.021654,19.99552,14.02224,-40.73055,1028.32
0.143099308,0.1202216,-0.03316398,-0.6813766,-0.04005032,0.01336635,0.9980632,19.99552,14.02224,-40.73055,1028.32
0.145568371,-0.9264134,-0.3271074,-0.6811626,-0.03257699,-0.02366691,1.001394,19.99552,14.02224,-40.73055,1028.32
0.148036003,0.366733,-0.2094231,-0.6809486,-0.02477777,-0.02212475,1.00119,19.99552,14.02224,-40.73055,1028.32
0.150504112,0.6128759,-0.03298502,-0.7419728,-0.02900179,0.01368884,1.009331,19.99552,14.02224,-40.73055,1028.32
0.152972698,-0.2492201,-0.3857192,-0.6805016,-0.02710934,0.004411132,1.001622,19.99552,14.02224,-40.73055,1028.32
0.155445576,-0.1260128,-0.2092257,-0.7415259,-0.01988071,-0.006290557,0.9913773,20.00108,13.65143,-41.11473,1028.32
0.157908916,0.4281077,0.4375383,-0.8025311,-0.02322193,0.005731948,1.020285,20.00108,13.65143,-41.11473,1028.32
0.160380363,-0.2492368,0.1434471,-0.6798027,-0.03308291,-0.00693983,0.9912331,20.00108,13.65143,-41.11473,1028.32
0.162845611,-0.1875939,0.2021928,-0.618351,-0.05022353,-0.02975984,0.9965725,20.00108,13.65143,-41.11473,1028.32
0.165313244,0.3665459,0.2021292,-0.6181567,-0.05471489,-0.01671393,1.000482,20.00108,13.65143,-41.11473,1028.32
0.167782306,-0.00295651,-0.4446326,-0.4342481,-0.03974709,0.00284251,1.003873,20.00108,13.65143,-41.11473,1028.32
0.170249939,-0.3107783,-0.6208652,-0.4341117,-0.02804648,-0.01590332,1.029638,20.00108,13.65143,-41.11473,1028.32
0.172718048,0.1818357,0.6139358,-0.4952135,-0.04253105,-0.01074196,1.002074,20.00108,13.65143,-41.11473,1028.32
0.175186634,0.2433431,0.6137429,-0.4338198,-0.06104532,-0.003128167,1.009249,20.00108,13.65143,-41.11473,1028.32
0.177654743,-0.06455606,-0.7974281,-0.4336835,-0.04397164,-0.003746092,0.9881274,20.00108,13.65143,-41.11473,1028.32
