Time (s),W,X,Y,Z
1.711125374,-0.3918496,-0.3560679,-0.8463054,0.008014601
1.730836868,-0.3921116,-0.356374,-0.8460585,0.007668769
1.750548840,-0.3921512,-0.3567552,-0.8458812,0.00747054
1.770265579,-0.392031,-0.3571466,-0.8457734,0.007295585
1.789972782,-0.3918134,-0.3575024,-0.8457248,0.007185178
1.809684277,-0.3914818,-0.3578849,-0.8457173,0.007093012
1.829396248,-0.3910405,-0.35828,-0.8457543,0.007071848
1.849108219,-0.390513,-0.3586918,-0.8458235,0.007069713
1.871284008,-0.3898355,-0.3591426,-0.845944,0.007152219
1.890991688,-0.3891638,-0.3594732,-0.8461116,0.007300392
1.910703659,-0.3884189,-0.3597544,-0.8463326,0.007505859
1.930415630,-0.3876373,-0.3600554,-0.8465606,0.00775919
1.950127602,-0.3868874,-0.3602863,-0.8468026,0.008057122
1.969839096,-0.3862048,-0.3603885,-0.8470672,0.008407319
1.989949703,-0.3856635,-0.3604048,-0.847304,0.008695855
2.009661675,-0.385271,-0.360357,-0.8475007,0.008917945
2.031837940,-0.3850039,-0.3602096,-0.8476824,0.009127534
2.051549911,-0.3849668,-0.3600316,-0.847774,0.009210376
2.071258068,-0.385065,-0.3598391,-0.8478109,0.009221036
2.090969562,-0.3852588,-0.3596343,-0.8478094,0.009251042
2.110681534,-0.385508,-0.359369,-0.8478079,0.009331106
2.130393505,-0.3858103,-0.3590063,-0.8478225,0.009458582
2.150105476,-0.3862029,-0.3586129,-0.8478093,0.009548391
2.169820308,-0.3866854,-0.358233,-0.8477502,0.009520033
2.189528942,-0.3872303,-0.3579575,-0.8476195,0.009375017
2.211704731,-0.3878898,-0.3577059,-0.8474266,0.009149592
2.231416702,-0.3884438,-0.3574075,-0.8473004,0.009004523
2.251128673,-0.3889435,-0.357071,-0.847214,0.008912602
2.270836353,-0.3894364,-0.356808,-0.8470994,0.008808006
2.290548324,-0.3899018,-0.3567681,-0.846904,0.008618209
2.310260296,-0.3903108,-0.3567347,-0.8467314,0.008453983
2.329971790,-0.3906601,-0.3566624,-0.8466015,0.008373326
2.349683761,-0.3909624,-0.3565766,-0.8464986,0.008319872
2.371859550,-0.391265,-0.3565449,-0.8463733,0.008206187
2.391571522,-0.3915039,-0.3566851,-0.8462058,0.007985765
2.411283493,-0.3917035,-0.3569226,-0.8460159,0.007702232
2.430995464,-0.3917797,-0.3572123,-0.8458605,0.007456758
2.450707912,-0.391745,-0.3575403,-0.8457398,0.007268576
2.470419407,-0.3915331,-0.35792,-0.8456782,0.007148925
2.490127563,-0.391152,-0.3581904,-0.8457395,0.007204827
2.509843826,-0.3906356,-0.3584565,-0.8458641,0.007362931
2.529551029,-0.3900265,-0.3586838,-0.8460469,0.007593313
2.551726818,-0.3892953,-0.358918,-0.8462818,0.007859226
2.571443558,-0.3886447,-0.3590937,-0.8465045,0.008044063
2.591150761,-0.3879513,-0.3591599,-0.8467928,0.008221999
2.610862732,-0.3871983,-0.3592384,-0.8471017,0.008453746
2.630574226,-0.386409,-0.3595221,-0.8473404,0.008604429
2.650286198,-0.3855702,-0.3599897,-0.8475228,0.008709441
2.669994354,-0.3847017,-0.3604314,-0.8477278,0.008880084
2.689705849,-0.3838227,-0.3604351,-0.8481203,0.009289296
2.711881638,-0.3828312,-0.360372,-0.84859,0.009746972
2.731593609,-0.3819597,-0.3603303,-0.8489954,0.01016069
2.751305580,-0.3811356,-0.3603504,-0.8493533,0.01048134
2.771017551,-0.3803782,-0.3603446,-0.8496915,0.01077885
2.790729999,-0.3796696,-0.3602161,-0.8500583,0.0111342
2.810441971,-0.3789978,-0.3600809,-0.8504109,0.01145864
2.830153465,-0.3783531,-0.3599864,-0.8507342,0.01173743
2.849865437,-0.3777267,-0.3599261,-0.8510336,0.01204633
2.869573593,-0.3771501,-0.3598935,-0.8512994,0.0123015
2.891749382,-0.3765242,-0.3599836,-0.8515355,0.01250202
2.911460876,-0.3759818,-0.3601,-0.851724,0.01262828
