Time (s),W,X,Y,Z
1.754548073,0.9348752,-0.175815,-0.02361349,0.3019395
1.774402142,0.934856,-0.1759433,-0.02406902,0.3018883
1.794255257,0.9347595,-0.1761167,-0.02455108,0.3020474
1.814108849,0.9346085,-0.1763348,-0.02505315,0.302346
1.833962440,0.9344408,-0.1765626,-0.02552564,0.3026915
1.853815556,0.9342645,-0.1767739,-0.02595398,0.3030756
1.873669624,0.9340585,-0.1770139,-0.02636576,0.3035344
1.893522739,0.9338827,-0.1772209,-0.02672506,0.3039235
1.913375854,0.9337398,-0.1773584,-0.02703591,0.3042543
1.933229923,0.9336044,-0.1774451,-0.02725462,0.3045999
1.955564976,0.9334285,-0.1774981,-0.0274257,0.3050922
1.975418091,0.9332904,-0.1775382,-0.0275098,0.3054834
1.995271206,0.9331901,-0.1775798,-0.02749967,0.3057666
2.015125275,0.9331281,-0.1775985,-0.02738643,0.3059552
2.034978390,0.9331029,-0.1775987,-0.02715996,0.3060515
2.054832458,0.9331212,-0.1775794,-0.02685188,0.3060343
2.074685573,0.933171,-0.1775016,-0.02652262,0.3059561
2.094538688,0.9332512,-0.1773933,-0.02622171,0.3058007
2.114392757,0.9333854,-0.1771991,-0.02591104,0.3055295
2.134245872,0.933541,-0.176974,-0.02559097,0.305212
2.154099941,0.9337174,-0.1767602,-0.02525873,0.3048234
2.173953056,0.9338926,-0.176582,-0.02493527,0.3044165
2.193810463,0.9340163,-0.1764469,-0.02462426,0.3041403
2.213660240,0.9341188,-0.1763319,-0.02435595,0.3039137
2.233513355,0.9341857,-0.1762699,-0.02408284,0.3037658
2.253366470,0.934242,-0.176192,-0.02380731,0.3036599
2.273220539,0.9343015,-0.1760985,-0.02354762,0.3035509
2.295555591,0.9343701,-0.1760021,-0.02328834,0.303416
2.315408707,0.9344508,-0.1758533,-0.0230792,0.3032693
2.335262298,0.9345503,-0.1757096,-0.02290829,0.3030591
2.355115890,0.9346702,-0.1755674,-0.02282037,0.3027782
2.374969005,0.9347575,-0.1755084,-0.02274373,0.3025482
2.394823074,0.934824,-0.1754917,-0.0226524,0.3023596
2.414676189,0.934854,-0.1755545,-0.02262953,0.3022318
2.434529781,0.9348294,-0.1756375,-0.02270007,0.302255
2.454385280,0.9347526,-0.1757388,-0.02281823,0.3024243
2.474236488,0.9346627,-0.1758113,-0.02297386,0.302648
2.494090557,0.9345556,-0.1758993,-0.02321517,0.3029094
2.513943672,0.9344381,-0.1759609,-0.02354764,0.3032103
2.533796787,0.9343152,-0.1760357,-0.02388567,0.3035187
2.553650856,0.9341798,-0.1761405,-0.02417166,0.3038518
2.573503971,0.9340392,-0.1762621,-0.02437501,0.3041972
2.593358040,0.9339217,-0.1763962,-0.02448376,0.3044716
2.613211155,0.9337916,-0.1765333,-0.0245563,0.3047849
2.635546207,0.9336712,-0.1766647,-0.0246371,0.3050713
2.655399799,0.9335801,-0.1767741,-0.02465939,0.3052846
2.675253391,0.9335063,-0.1768149,-0.02461175,0.3054903
