Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.096785545,-0.2254885,0.04035491,0.08699975,-0.190384,0.3165389,0.9529294,25.24436,-1.334113,-40.92044,1028.927
0.099267483,-0.1638844,0.04035491,0.08699975,-0.1801317,0.3213631,0.9505605,25.24436,-1.334113,-40.92044,1028.927
0.101748943,-0.1638844,0.09980881,0.3920478,-0.1733081,0.3339703,0.9463381,25.24436,-1.334113,-40.92044,1028.927
0.104230881,-0.1638844,0.2781706,0.209019,-0.1801293,0.3277288,0.9573326,25.24436,-1.334113,-40.92044,1028.927
0.106711864,-0.1638844,0.2781706,-0.09602907,-0.1850144,0.3306757,0.9597605,25.24436,-1.334113,-40.92044,1028.927
0.109194279,-0.2254885,0.09980881,-0.03501946,-0.1772048,0.3257317,0.9501138,25.24436,-1.334113,-40.92044,1028.927
0.111675262,-0.2254885,0.1592627,-0.1570387,-0.160573,0.324331,0.9673687,25.24436,-1.334113,-40.92044,1028.927
0.114160061,-0.2254885,0.8727096,-0.4620867,-0.1854942,0.3199693,0.9591933,25.24436,-1.334113,-40.92044,1028.927
0.116638660,-0.1638844,0.3970784,-0.3400675,-0.1913714,0.3057362,0.9360421,25.24436,-1.334113,-40.92044,1028.93
0.119120598,-0.1638844,-0.019099,-0.6451156,-0.1654436,0.3073135,0.9672335,25.24436,-1.334113,-40.92044,1028.93
0.121602535,-0.1022803,0.9321635,-0.8281444,-0.1771725,0.3014598,0.9595152,25.24436,-1.334113,-40.92044,1028.93
0.124083996,0.08253193,0.8727096,-0.584106,-0.2050581,0.3164861,0.9375811,25.24436,-1.334113,-40.92044,1028.93
0.126565933,-0.1022803,0.09980881,-0.5230963,-0.1811031,0.3135746,0.9495376,25.24436,-1.334113,-40.92044,1028.93
0.129047394,0.144136,0.634894,-0.5230963,-0.1688649,0.3180676,0.9740441,25.24436,-1.334113,-40.92044,1028.93
0.131529331,-0.04067625,1.110525,-0.3400675,-0.1947815,0.3121484,0.9490572,25.24436,-1.334113,-40.92044,1028.93
0.134010792,-0.1638844,0.4565322,-0.09602907,-0.1923383,0.3101898,0.948079,25.24436,-1.334113,-40.92044,1028.93
0.136492729,0.144136,0.5159862,-0.3400675,-0.1898652,0.3147376,0.9773939,25.24436,-1.334113,-40.92044,1028.93
0.138973713,0.144136,0.9321635,-0.4620867,-0.2148288,0.3028275,0.9273975,25.24436,-1.334113,-40.92044,1028.93
0.141455650,0.08253193,-0.1974607,-0.7671348,-0.180136,0.3159647,0.9428364,25.24436,-1.334113,-40.92044,1028.93
0.143937111,0.2057401,0.4565322,-1.011173,-0.1542154,0.3082195,0.9609917,25.24436,-1.334113,-40.92044,1028.93
0.146419048,0.3289483,1.467249,-0.8281444,-0.1962619,0.3291828,0.9491977,25.24109,-0.5847763,-40.92749,1028.93
0.148900509,0.02092784,0.3376244,-0.889154,-0.1962291,0.3068687,0.9605349,25.24109,-0.5847763,-40.92749,1028.93
0.151382446,0.2057401,0.5159862,-0.7061251,-0.1732599,0.3166224,0.9745159,25.24109,-0.5847763,-40.92749,1028.93
0.153864384,0.02092784,1.169979,-0.7061251,-0.1977299,0.3150011,0.936603,25.24109,-0.5847763,-40.92749,1028.93
0.156345844,0.2057401,0.634894,-0.7061251,-0.2006759,0.3159103,0.9246129,25.24109,-0.5847763,-40.92749,1028.931
0.158827781,0.2057401,0.3376244,-0.4620867,-0.1806129,0.3233566,0.9582571,25.24109,-0.5847763,-40.92749,1028.931
0.161309242,-0.1638844,1.288887,-0.4620867,-0.2206996,0.3091543,0.925054,25.24109,-0.5847763,-40.92749,1028.931
0.163791179,-0.3486967,0.9321635,-0.4010771,-0.2881491,0.3199268,0.9064774,25.24109,-0.5847763,-40.92749,1028.931
0.166277885,-0.4719049,-1.267631,-0.2790579,-0.2054758,0.2821493,0.9723402,25.24109,-0.5847763,-40.92749,1028.931
0.168754577,0.3289483,0.4565322,-0.1570387,-0.1849647,0.3187119,0.9932624,25.24109,-0.5847763,-40.92749,1028.931
0.171235561,0.3289483,1.051071,-0.1570387,-0.2519726,0.3062722,0.917376,25.24109,-0.5847763,-40.92749,1028.931
0.173717499,0.5137606,-1.148723,-0.1570387,-0.1996932,0.3379303,0.945912,25.24109,-0.5847763,-40.92749,1028.931
0.176198959,-0.1022803,-0.1974607,-0.4620867,-0.1678951,0.3278025,0.9750829,25.24109,-0.5847763,-40.92749,1028.931
0.178680897,-0.2870926,0.7538018,-0.6451156,-0.231938,0.3179715,0.9299352,25.24109,-0.5847763,-40.92749,1028.931
0.181162357,-0.1022803,-0.7325459,-0.7671348,-0.2143269,0.3087599,0.9432854,25.24109,-0.5847763,-40.92749,1028.931
0.183644295,0.3289483,-0.4947302,-0.7061251,-0.1722602,0.2996295,0.981096,25.24109,-0.5847763,-40.92749,1028.931
0.186126232,0.5137606,0.5159862,-0.6451156,-0.219238,0.32477,0.9333404,25.24109,-0.5847763,-40.92749,1028.931
0.188607693,0.3905524,-0.5541841,-0.3400675,-0.2128962,0.3139535,0.917407,25.24109,-0.5847763,-40.92749,1028.931
0.191092491,0.2057401,-0.9109076,-0.1570387,-0.1722894,0.3248947,0.9750627,25.24109,-0.5847763,-40.92749,1028.931
0.193576336,-0.3486967,0.3970784,-0.03501946,-0.210425,0.3116489,0.9399459,25.24109,-0.5847763,-40.92749,1028.931
0.196053028,-0.1022803,-0.3163685,-0.09602907,-0.2182384,0.3092425,0.9408925,24.86432,-0.9581981,-40.91379,1028.927
0.198534012,0.2673442,-1.148723,0.02599015,-0.1820562,0.3151661,0.9711512,24.86432,-0.9581981,-40.91379,1028.927
0.201016426,0.3905524,-0.0785529,-0.1570387,-0.1991899,0.3248084,0.9486843,24.86432,-0.9581981,-40.91379,1028.927
0.203497410,0.2057401,-0.3758224,-0.2790579,-0.2138835,0.3388294,0.9272111,24.86432,-0.9581981,-40.91379,1028.927
0.205979347,0.02092784,-1.029815,-0.6451156,-0.1859881,0.3228757,0.9568176,24.86432,-0.9581981,-40.91379,1028.927
0.208460808,0.144136,-0.1974607,-0.7671348,-0.2030765,0.3205314,0.9640123,24.86432,-0.9581981,-40.91379,1028.927
0.210942745,0.144136,-0.3758224,-0.7671348,-0.2226289,0.3039104,0.9422925,24.86432,-0.9581981,-40.91379,1028.927
0.213424682,0.5137606,-1.089269,-0.584106,-0.2050358,0.3161114,0.9562978,24.86432,-0.9581981,-40.91379,1028.927
0.215906143,0.3905524,-0.9703615,-0.4010771,-0.2094482,0.3223971,0.947713,24.86432,-0.9581981,-40.91379,1028.927
0.218389988,0.3289483,-0.8514537,-0.3400675,-0.2231566,0.3217949,0.9222794,24.86432,-0.9581981,-40.91379,1028.927
0.220869541,-0.04067625,-1.386539,-0.3400675,-0.2099466,0.3252806,0.941497,24.86432,-0.9581981,-40.91379,1028.927
0.223351478,-0.2254885,-1.089269,-0.2790579,-0.2045516,0.3126667,0.9500293,24.86432,-0.9581981,-40.91379,1028.927
0.225832939,0.08253193,-0.9109076,-0.1570387,-0.2177425,0.3156328,0.9519842,24.86432,-0.9581981,-40.91379,1028.927
0.228314876,0.3289483,-1.743262,-0.2180483,-0.2084565,0.3087844,0.9500008,24.86432,-0.9581981,-40.91379,1028.927
0.230795860,0.4521565,-1.505447,-0.5230963,-0.2011453,0.3262734,0.9486979,24.86432,-0.9581981,-40.91379,1028.927
0.233277798,0.08253193,-1.267631,-0.5230963,-0.2060418,0.3325833,0.9439535,24.86432,-0.9581981,-40.91379,1028.927
0.235759258,0.02092784,-1.564901,-0.4010771,-0.2089806,0.32962,0.9352918,24.86432,-0.9581981,-40.91379,1028.93
0.238241196,-0.04067625,-1.564901,-0.4010771,-0.2065038,0.3234341,0.9597188,24.86432,-0.9581981,-40.91379,1028.93
0.240722656,-0.1022803,-1.624354,-0.5230963,-0.2167629,0.3127107,0.9519596,24.86432,-0.9581981,-40.91379,1028.93
0.243204593,0.3289483,-1.802716,-0.4010771,-0.2182346,0.3165929,0.9495926,24.86432,-0.9581981,-40.91379,1028.93
0.245686054,0.2057401,-1.802716,-0.1570387,-0.2079888,0.3223616,0.9424314,25.22858,-0.9666015,-41.30734,1028.93
0.248167991,0.08253193,-1.86217,-0.1570387,-0.2133839,0.3325311,0.9319592,25.22858,-0.9666015,-41.30734,1028.93
0.250649929,-0.1022803,-2.040532,-0.1570387,-0.2158075,0.3248154,0.9424579,25.22858,-0.9666015,-41.30734,1028.93
0.255613327,0.08253193,-2.099986,0.02599015,-0.207483,0.3160949,0.9524597,25.22858,-0.9666015,-41.30734,1028.93
0.258094311,0.2057401,-2.397255,-0.1570387,-0.2065094,0.3234055,0.9549186,25.22858,-0.9666015,-41.30734,1028.93
0.260576725,0.3905524,-2.337801,-0.1570387,-0.2011534,0.3355185,0.9487734,25.22858,-0.9666015,-41.30734,1028.93
0.263057709,-0.1022803,-2.218894,-0.2180483,-0.2060419,0.3320938,0.9434695,25.22858,-0.9666015,-41.30734,1028.93
0.265539646,-0.1638844,-2.278347,-0.4010771,-0.2050506,0.3253221,0.9506133,25.22858,-0.9666015,-41.30734,1028.93
0.268022537,-0.1022803,-2.337801,-0.4010771,-0.2069939,0.3180515,0.9543954,25.22858,-0.9666015,-41.30734,1028.93
0.270503044,0.02092784,-2.397255,-0.09602907,-0.2128519,0.3161351,0.9567844,25.22858,-0.9666015,-41.30734,1028.93
0.272984505,0.144136,-2.575617,0.02599015,-0.2123837,0.3233608,0.9448433,25.22858,-0.9666015,-41.30734,1028.93
0.275466442,0.08253193,-2.813432,-0.03501946,-0.2060422,0.3232951,0.9366776,25.22858,-0.9666015,-41.30734,1028.927
0.277947903,-0.1022803,-2.872886,-0.03501946,-0.2094593,0.3247841,0.9400525,25.22858,-0.9666015,-41.30734,1028.927
0.280430317,-0.2870926,-2.813432,-0.09602907,-0.2089685,0.3208844,0.9390603,25.22858,-0.9666015,-41.30734,1028.927
0.282911777,-0.2870926,-2.93234,0.02599015,-0.2074803,0.3156198,0.9543759,25.22858,-0.9666015,-41.30734,1028.927
0.285393238,-0.2254885,-3.051248,0.02599015,-0.203076,0.3141799,0.9596404,25.22858,-0.9666015,-41.30734,1028.927
0.287875175,-0.04067625,-3.229609,0.1480094,-0.207013,0.3238188,0.9424425,25.22858,-0.9666015,-41.30734,1028.927
0.290356159,0.08253193,-3.289063,0.08699975,-0.2021241,0.3282223,0.9487146,25.22858,-0.9666015,-41.30734,1028.927
